,Location,Area,Security,Bedrooms,Price
1451,Kokapet,1600,0,3,9120000
1452,Nizampet,1201,0,2,4804000
1453,Nizampet,1150,0,2,5000000
1454,Bachupally Road,1155,0,2,4158000
1455,Gajularamaram,1050,1,2,4600000
1456,Gajularamaram,1555,1,3,6600000
1457,TellapurOsman Nagar Road,2026,1,3,11200000
1458,TellapurOsman Nagar Road,1880,1,3,10200000
1459,Bachupally Road,1155,0,2,4158000
1460,Hitech City,2380,1,3,21000000
1461,other,1402,1,3,6000000
1462,Pragathi Nagar Kukatpally,1515,0,3,6000000
1463,other,1120,1,3,4500000
1464,Kukatpally,1279,1,2,8400000
1465,Kukatpally,1274,1,2,8400000
1466,Bachupally Road,1155,0,2,4158000
1467,Serilingampally,1650,1,3,8000000
1468,Pragathi Nagar Kukatpally,1515,0,3,6000000
1469,Serilingampally,1650,0,3,8000000
1470,Tellapur,1687,1,3,9447000
1471,other,800,0,2,3500000
1472,Pragathi Nagar Kukatpally,1515,0,3,6000000
1473,Pragathi Nagar Kukatpally,1515,0,3,6000000
1474,Pragathi Nagar Kukatpally,1515,0,3,6000000
1475,Kukatpally,1441,1,2,9500000
1476,other,1100,1,2,4070000
1477,Tellapur,2150,1,3,13700000
1478,Pragathi Nagar Kukatpally,1515,1,3,6000000
1479,Pragathi Nagar Kukatpally,1515,0,3,6000000
1480,other,1515,1,3,6000000
1481,Pragathi Nagar Kukatpally,1515,0,3,6000000
1482,Bachupally Road,1155,0,2,4158000
1483,other,600,0,1,2300000
1484,Serilingampally,1650,1,3,8150000
1485,Kondapur,1880,1,3,16000000
1486,Kukatpally,1360,1,2,8900000
1487,Kukatpally,1216,1,2,8000000
1488,Tellapur,1538,1,3,8766000
1489,Miyapur,1920,1,3,10700000
1490,Miyapur,1190,1,2,8573000
1491,Serilingampally,2925,1,4,18400000
1492,Serilingampally,1650,1,3,8150000
1493,Kokapet,2150,1,3,12400000
1494,Kukatpally,1695,1,3,11200000
1495,other,2700,0,2,5999000
1496,other,1250,0,2,6000000
1497,other,1100,1,2,5600000
1498,Miyapur,1003,0,2,3510000
1499,Adibatla,1400,0,3,2800000
1500,Adibatla,1400,0,3,2800000
1501,Manikonda,5000,0,6,21000000
1502,other,850,0,2,3500000
1503,other,1800,0,3,8000000
1504,other,1235,1,2,5187000
1505,Pragathi Nagar Kukatpally,1515,0,2,6000000
1506,other,750,0,2,2700000
1507,Bachupally Road,1155,0,2,4158000
1508,West Marredpally,900,1,2,4000000
1509,Banjara Hills,3300,1,4,35000000
1510,Tellapur,1538,1,3,8000000
1511,Kondapur,1195,0,2,6800000
1512,Pragathi Nagar Kukatpally,1100,1,2,4179999
1513,Serilingampally,1650,1,3,8200000
1514,Serilingampally,1650,1,3,8200000
1515,Miyapur,1214,1,2,4856000
1516,Bachupally Road,1175,0,2,4230000
1517,Bachupally Road,1155,0,2,4158000
1518,Bachupally Road,1175,0,2,4236000
1519,Bachupally Road,1175,0,2,4236000
1520,Bachupally Road,1175,0,2,4236000
1521,other,1028,0,2,5654000
1522,other,1350,0,3,4000000
1523,other,1050,1,2,3700000
1524,LB Nagar,1300,0,3,5600000
1525,Beeramguda,1500,0,3,3750000
1526,Krishna Reddy Pet,1400,0,3,3500000
1527,LB Nagar,1130,0,2,4700000
1528,other,1500,1,3,4600000
1529,Jubilee Hills,3000,1,3,30000000
1530,Serilingampally,1650,1,3,8100000
1531,Hitech City,3498,1,4,29000000
1532,other,1100,0,3,5500000
1533,Bachupally,1200,1,2,4680000
1534,Bachupally Road,1175,0,2,4230000
1535,Gajulramaram Kukatpally,1620,1,3,8800000
1536,Pragathi Nagar Kukatpally,1100,0,2,4200000
1537,Miyapur,1205,0,2,5061000
1538,Nizampet,1180,0,2,4600000
1539,Kukatpally,1591,1,3,10900000
1540,Banjara Hills,1441,0,2,11000000
1541,Gachibowli,1050,1,2,3148000
1542,Gachibowli,1665,1,3,6325000
1543,Gachibowli,1250,1,2,4748000
1544,Bachupally Road,1175,0,2,4230000
1545,other,1256,1,2,5652000
1546,Bachupally,1200,1,2,4680000
1547,other,4320,1,4,38700000
1548,Kokapet,1735,1,3,10000000
1549,other,1150,1,2,6500000
1550,Sanath Nagar,1500,1,3,12400000
1551,Bachupally Road,1175,0,2,4230000
1552,Kokapet,1507,1,3,7800000
1553,Tellapur,1412,1,3,8000000
1554,other,2160,1,3,12500000
1555,Appa Junction Peerancheru,1500,1,3,10000000
1556,other,1050,1,2,3500000
1557,other,550,1,1,2310000
1558,Kondapur,1220,1,2,7554000
1559,Gajularamaram,1010,1,2,4542000
1560,Kukatpally,1090,1,2,7098999
1561,Gajularamaram,1555,1,3,6931000
1562,Kondapur,1885,1,3,11399999
1563,Kukatpally,1730,1,3,11100000
1564,Bachupally Road,1155,1,2,4158000
1565,Serilingampally,1650,1,3,8150000
1566,other,5000,1,3,40000000
1567,other,600,1,1,2500000
1568,other,1600,1,3,10500000
1569,Gachibowli,2800,1,3,19300000
1570,Gachibowli,2405,1,3,16500000
1571,Krishna Reddy Pet,1000,0,2,2500000
1572,Beeramguda,1400,0,3,3500000
1573,LB Nagar,1330,0,3,5600000
1574,Miyapur,1000,0,3,3500000
1575,other,3350,1,4,27000000
1576,Kondapur,1630,1,3,9291000
1577,Serilingampally,1650,1,3,8150000
1578,Banjara Hills,3350,1,4,42900000
1579,other,1250,1,2,6000000
1580,other,1055,1,2,4700000
1581,other,1190,0,2,4403000
1582,other,550,1,1,2200000
1583,other,1076,0,2,4304000
1584,other,933,0,2,3732000
1585,other,1026,0,2,4104000
1586,other,982,0,2,3928000
1587,Tellapur,1792,1,3,9100000
1588,Hitech City,3498,1,4,29000000
1589,Bachupally Road,1155,0,2,4389000
1590,Bandlaguda Jagir,2771,1,4,13700000
1591,Kokapet,1480,1,3,9974000
1592,other,2250,1,3,20000000
1593,Sanath Nagar,700,1,2,3000000
1594,Bachupally Road,1155,0,2,4158000
1595,Bachupally Road,1155,0,2,4158000
1596,Bachupally Road,1175,0,2,4239000
1597,other,1715,1,3,11000000
1598,Manikonda,1100,1,2,4950000
1599,Kondapur,2380,1,3,21000000
1600,other,1430,1,3,6006000
1601,Beeramguda,1008,1,2,2116000
1602,Nizampet,1225,1,2,4800000
1603,Bachupally Road,1175,0,3,4236000
1604,Hitech City,1580,1,3,9638000
1605,Madinaguda,1170,0,2,7000000
1606,other,1055,0,2,4100000
1607,Kukatpally,1216,1,2,8400000
1608,Gachibowli,4799,1,4,40700000
1609,Sanath Nagar,1780,0,3,14900000
1610,Pragathi Nagar Kukatpally,1515,0,3,6800000
1611,Gachibowli,4152,1,5,45000000
1612,other,2100,1,3,15000000
1613,Bachupally Road,1155,0,2,4389000
1614,Tellapur,1597,1,3,8300000
1615,other,1200,1,2,5200000
1616,Hitech City,1000,1,1,15000000
1617,other,1585,1,3,6340000
1618,Banjara Hills,3025,1,4,37000000
1619,Banjara Hills,2166,1,3,27000000
1620,Gajularamaram,1620,1,3,9200000
1621,other,2612,1,3,10400000
1622,Gajulramaram Kukatpally,1620,1,3,9351000
1623,Gajulramaram Kukatpally,1620,1,3,9200000
1624,Madinaguda,1170,0,2,7028000
1625,Kokapet,1680,1,3,12000000
1626,other,1400,1,2,8000000
1627,Gachibowli,1400,1,3,4198000
1628,other,1585,1,3,6340000
1629,Gajularamaram,1620,1,3,9500000
1630,Gajularamaram,1620,1,3,9500000
1631,Gajularamaram,1620,1,3,9500000
1632,Gajularamaram,1620,1,3,9500000
1633,other,1232,0,2,4600000
1634,other,1470,1,2,5800000
1635,Alwal,1555,1,3,6220000
1636,Bachupally Road,1175,0,2,4230000
1637,other,1470,1,2,5800000
1638,Kukatpally,1360,1,2,9400000
1639,other,1400,1,3,4000000
1640,Nizampet,1090,1,2,4300000
1641,Madinaguda,1170,0,2,5967000
1642,Kukatpally,1441,1,2,8900000
1643,Kokapet,1735,1,3,10500000
1644,Nanakramguda,3230,1,3,22000000
1645,Kokapet,1271,1,2,7800000
1646,other,750,0,2,2700000
1647,Kukatpally,1740,1,3,12000000
1648,Bachupally Road,1155,0,2,4158000
1649,Bachupally Road,1155,0,2,4158000
1650,Bachupally Road,1175,0,2,4500000
1651,Bachupally Road,1175,0,2,4500000
1652,Bachupally Road,1155,1,2,4389000
1653,other,1220,1,2,6500000
1654,Kondapur,1320,1,2,10500000
1655,Kokapet,3380,1,4,21000000
1656,Appa Junction Peerancheru,1482,1,2,10000000
1657,Nanakramguda,4395,1,4,45000000
1658,Nallagandla Gachibowli,1860,1,3,12000000
1659,other,1500,1,3,6200000
1660,Madinaguda,1170,0,2,6800000
1661,Madhapur,2865,1,4,40000000
1662,Gachibowli,4152,1,5,45000000
1663,Kokapet,1270,1,2,8522000
1664,Kokapet,1735,1,3,11200000
1665,Kokapet,1735,1,3,11000000
1666,Kukatpally,1216,1,2,11000000
1667,other,1755,1,3,10900000
1668,Balanagar,1665,1,3,10500000
1669,Gajulramaram Kukatpally,1620,1,3,8259999
1670,other,1130,1,2,4600000
1671,Kukatpally,1100,1,2,5700000
1672,other,1160,1,2,4872000
1673,Kondapur,1490,1,3,11299999
1674,other,1300,1,3,5000000
1675,other,1280,1,3,4500000
1676,other,1000,1,2,4500000
1677,Pragathi Nagar Kukatpally,1515,0,3,6800000
1678,Madinaguda,1170,0,2,7000000
1679,Gachibowli,4146,1,5,35200000
1680,Gachibowli,4146,0,5,35200000
1681,Gachibowli,4146,1,5,35200000
1682,Gachibowli,4146,1,5,35200000
1683,Attapur,2875,1,4,10900000
1684,other,2744,1,4,22500000
1685,Kondapur,2192,1,3,10500000
1686,other,550,1,1,2310000
1687,Madhapur,2595,1,4,27000000
1688,Shaikpet,1875,1,3,15000000
1689,Narsingi,1460,1,3,7519000
1690,Kokapet,1680,1,3,11200000
1691,Bachupally Road,1155,0,2,4389000
1692,Bachupally Road,1175,0,2,4500000
1693,Serilingampally,1650,1,3,8200000
1694,other,1515,1,3,6363000
1695,other,1500,1,5,6500000
1696,Kondapur,1050,0,3,4500000
1697,Gachibowli,1600,1,3,7998000
1698,Nallagandla Gachibowli,1511,1,2,8811000
1699,other,2141,1,3,23000000
1700,Narsingi,1670,1,3,8624000
1701,Bachupally Road,1155,0,2,4158000
1702,Bachupally Road,1155,0,2,4389000
1703,Bachupally Road,1175,0,2,4500000
1704,Kukatpally,1931,1,3,13300000
1705,Kukatpally,1782,1,3,11500000
1706,Kukatpally,1441,1,2,9400000
1707,Kukatpally,1441,1,2,9400000
1708,other,1515,1,3,6363000
1709,other,1165,0,2,5100000
1710,Kukatpally,1740,1,3,12000000
1711,Kukatpally,1360,1,2,9382000
1712,Pragathi Nagar Kukatpally,1110,0,2,4500000
1713,Chandanagar,1675,1,3,11000000
1714,other,1725,1,3,11000000
1715,Nagole,1255,1,2,5647000
1716,Pragathi Nagar Kukatpally,1515,0,3,6800000
1717,Pragathi Nagar Kukatpally,1515,0,3,6800000
1718,Kondapur,1505,1,3,14000000
1719,Serilingampally,1650,1,3,8150000
1720,Kukatpally,1090,1,2,7098999
1721,Kukatpally,1695,1,3,10900000
1722,Kondapur,1315,1,2,8095000
1723,Kondapur,1885,1,3,11399999
1724,Gajularamaram,1180,1,2,5256000
1725,Gajularamaram,1555,1,3,6931000
1726,Gachibowli,1728,1,3,13500000
1727,other,1189,1,2,6000000
1728,Manikonda,1100,0,2,6000000
1729,Kukatpally,1782,1,3,11500000
1730,Kukatpally,1782,1,3,11500000
1731,Kukatpally,1735,1,3,11000000
1732,Kondapur,2192,1,3,10500000
1733,Kompally,1075,0,2,4085000
1734,Kompally,1265,0,2,4427000
1735,Kukatpally,1782,1,3,15400000
1736,other,2700,0,3,45000000
1737,Gachibowli,4829,1,4,24500000
1738,Kukatpally,1279,1,2,8823000
1739,Kukatpally,1216,1,2,8389000
1740,Kukatpally,1441,1,2,9941000
1741,Narsingi,1200,1,2,6180000
1742,Bachupally,1150,0,2,4340000
1743,Bachupally,1475,0,3,5510000
1744,Kompally,1100,1,2,5050000
1745,Chandanagar,1470,1,3,9300000
1746,Serilingampally,1780,1,3,13000000
1747,Manikonda,2460,1,3,18500000
1748,Kokapet,2540,1,3,17500000
1749,Nanakramguda,1130,1,2,6102000
1750,Nanakramguda,1495,1,3,8070000
1751,Nanakramguda,1395,1,2,7533000
1752,Nanakramguda,1275,1,2,6884999
1753,Kokapet,1875,1,3,10800000
1754,Kokapet,2630,1,4,17000000
1755,Kokapet,2630,1,4,17000000
1756,Jubilee Hills,4700,1,4,61000000
1757,Jubilee Hills,4300,1,4,55800000
1758,Tellapur,1700,1,3,8000000
1759,Kokapet,2630,1,4,18400000
1760,Bachupally,1230,0,2,4500000
1761,other,1000,1,2,3600000
1762,Bachupally Road,1150,1,2,3500000
1763,other,1195,0,3,4000000
1764,other,1050,0,2,5200000
1765,Tarnaka,1122,0,2,5900000
1766,Kukatpally,1441,1,2,9400000
1767,Kondapur,1710,1,3,13300000
1768,Nanakramguda,1600,1,3,7998000
1769,Kondapur,2020,1,3,10500000
1770,Madhapur,3190,1,4,32000000
1771,Bachupally Road,1175,0,2,4236000
1772,Bachupally Road,1175,0,2,4236000
1773,Bachupally Road,1155,0,2,4158000
1774,Bachupally Road,1155,0,2,4158000
1775,Bachupally Road,1155,0,2,4158000
1776,Bachupally Road,1175,0,2,4236000
1777,Bachupally Road,1220,0,2,4158000
1778,Bachupally Road,1155,0,2,4158000
1779,Bachupally Road,1155,0,2,4158000
1780,Bachupally Road,1155,0,2,4158000
1781,Bachupally Road,1155,0,2,4389000
1782,Bachupally Road,1175,0,2,4236000
1783,Bachupally Road,1155,0,2,4158000
1784,Kondapur,1165,1,2,6640000
1785,Bandlaguda Jagir,1775,1,3,6000000
1786,Gachibowli,1662,1,3,16000000
1787,Nanakramguda,1770,1,3,9558000
1788,Hitech City,3493,1,4,29000000
1789,Kukatpally,1050,0,2,5500000
1790,other,1515,1,3,6363000
1791,Kondapur,2815,1,3,13500000
1792,Kondapur,2191,1,3,10500000
1793,Kondapur,2813,1,3,13500000
1794,Kokapet,1535,1,3,9517000
1795,Kokapet,1535,1,3,9517000
1796,Kokapet,1535,1,3,8903000
1797,Kokapet,2630,1,4,16299999
1798,Kokapet,2630,1,4,16299999
1799,Kokapet,2630,1,4,16299999
1800,Kokapet,2630,1,4,16299999
1801,Kokapet,2630,1,4,15200000
1802,Kokapet,2630,1,4,15200000
1803,Kokapet,2630,1,4,15200000
1804,Kokapet,2630,1,4,15200000
1805,Kokapet,2630,1,4,15200000
1806,Kokapet,2630,1,4,15200000
1807,Kokapet,2630,1,4,15200000
1808,Kokapet,2630,1,4,15200000
1809,Gachibowli,4146,1,5,35200000
1810,Gachibowli,4146,1,5,35200000
1811,Gachibowli,4146,1,5,35200000
1812,Gachibowli,4146,1,5,35200000
1813,other,1050,0,2,4500000
1814,Jubilee Hills,4800,1,4,62300000
1815,Kondapur,2607,1,3,12500000
1816,Kokapet,1535,1,3,12000000
1817,Gajulramaram Kukatpally,1185,1,2,2962000
1818,Nanakramguda,1730,1,3,14500000
1819,Madhapur,3490,1,4,34000000
1820,Manikonda,1834,1,3,15000000
1821,other,2025,1,4,7200000
1822,other,1000,1,2,3700000
1823,Hitech City,1580,1,3,9800000
1824,Gachibowli,2615,1,3,13000000
1825,Kondapur,2191,1,3,15800000
1826,other,1190,0,2,4600000
1827,Kukatpally,4400,1,4,30000000
1828,Nallagandla Gachibowli,1270,1,2,7438000
1829,other,2100,1,3,13400000
1830,Kompally,1100,0,2,4800000
1831,LB Nagar,8500,0,6,29000000
1832,other,900,0,2,3800000
1833,Gachibowli,3448,1,4,27000000
1834,Hitech City,1865,1,3,12100000
1835,Alwal,1589,1,3,7950000
1836,other,2025,0,3,10500000
1837,Kondapur,2191,1,3,10500000
1838,Nanakramguda,2270,1,3,14500000
1839,Kondapur,1615,1,3,14000000
1840,Nanakramguda,1745,1,3,11200000
1841,Nanakramguda,960,1,2,7500000
1842,Bachupally,1190,0,2,4641000
1843,Nanakramguda,2615,1,3,16600000
1844,Kondapur,2815,1,3,13500000
1845,Kondapur,2800,1,3,13400000
1846,Kondapur,2600,1,3,12400000
1847,Kondapur,2452,1,3,11700000
1848,Kondapur,2815,1,3,13500000
1849,Madinaguda,1604,0,3,5500000
1850,other,1050,1,2,5500000
1851,Gajularamaram,1620,0,3,8000000
1852,Kokapet,2540,1,3,16000000
1853,Hitech City,2160,1,3,15000000
1854,Toli Chowki,1630,1,3,7000000
1855,other,1050,0,2,5400000
1856,Hitech City,1150,1,2,3900000
1857,Hitech City,2265,1,3,14800000
1858,other,1035,0,2,5000000
1859,Madhapur,1500,1,3,8000000
1860,other,1688,0,3,9800000
1861,other,1100,1,2,4600000
1862,Kokapet,1875,1,3,12100000
1863,other,1050,0,2,4200000
1864,Appa Junction Peerancheru,1800,1,3,10000000
1865,Madhapur,2625,1,3,27000000
1866,Gachibowli,3448,0,4,27000000
1867,Shaikpet,2385,1,3,15000000
1868,Nanakramguda,1800,1,3,11200000
1869,Kondapur,2607,1,3,20000000
1870,Madhapur,3240,1,4,29200000
1871,Madhapur,2865,1,4,25800000
1872,Pragathi Nagar Kukatpally,1125,1,2,4060000
1873,Serilingampally,2050,0,3,14000000
1874,Banjara Hills,3300,1,4,29700000
1875,other,1300,0,3,3250000
1876,Madinaguda,1240,0,2,3450000
1877,Nallagandla Gachibowli,1665,1,3,9855000
1878,Nallagandla Gachibowli,1265,1,2,7536000
1879,Nanakramguda,2644,1,3,9782000
1880,Beeramguda,1000,0,2,2500000
1881,other,1550,0,3,6500000
1882,Miyapur,4500,1,5,18000000
1883,Madinaguda,1640,0,3,5300000
1884,other,3450,1,4,55000000
1885,Madhapur,1150,1,2,3900000
1886,Beeramguda,1150,1,2,3900000
1887,Kondapur,1770,1,3,10700000
1888,other,1960,0,3,12000000
1889,other,980,1,2,3800000
1890,Kondapur,1195,1,2,7500000
1891,other,1200,0,2,9000000
1892,other,1590,0,3,12000000
1893,Nanakramguda,2220,1,3,15000000
1894,Kukatpally,1592,1,3,12600000
1895,other,1380,0,3,6500000
1896,Madhapur,4375,1,5,32799999
1897,Madinaguda,1640,0,3,5500000
1898,Madinaguda,1240,0,2,3720000
1899,other,1300,0,3,3200000
1900,Madinaguda,1240,0,2,3720000
1901,other,1160,1,2,5600000
1902,Kukatpally,1695,1,3,11200000
1903,Kukatpally,1090,1,2,7317000
1904,Gachibowli,1275,1,2,11500000
1905,Kokapet,1350,1,2,10200000
1906,other,1250,0,3,6300000
1907,other,2500,0,3,13500000
1908,Nanakramguda,3258,1,4,22700000
1909,Miyapur,1165,1,2,5242000
1910,other,1250,0,3,5200000
1911,other,1300,0,3,4000000
1912,Patancheru,950,0,2,2400000
1913,other,1100,0,3,3100000
1914,other,1007,0,2,2014000
1915,Gajulramaram Kukatpally,1640,1,3,3936000
1916,Serilingampally,2925,1,4,14600000
1917,Kondapur,1710,1,3,13000000
1918,Nanakramguda,2664,1,3,9782000
1919,Nanakramguda,2000,1,3,7400000
1920,other,1150,0,2,4800000
1921,other,1150,1,2,4140000
1922,other,1145,0,2,8500000
1923,Kondapur,1900,1,3,16500000
1924,Hitech City,1580,1,3,10000000
1925,Kondapur,2192,1,3,10500000
1926,Hitech City,2595,1,3,20500000
1927,other,960,1,2,5760000
1928,Madinaguda,1665,0,3,5500000
1929,Patancheru,950,0,2,2400000
1930,Kukatpally,1735,1,3,12200000
1931,Kukatpally,1360,1,2,9600000
1932,Kukatpally,1208,1,2,8500000
1933,Kukatpally,1740,1,3,12200000
1934,Bachupally,1200,0,2,4680000
1935,Bachupally,1240,0,2,4836000
1936,Bachupally,1240,0,2,4836000
1937,Bachupally,1200,0,2,4680000
1938,Bachupally,1600,0,3,6240000
1939,Bachupally,1270,0,2,4953000
1940,Alwal,1080,1,2,4320000
1941,other,1020,1,2,4850000
1942,other,1145,1,2,4800000
1943,Chandanagar,1575,1,3,8031999
1944,Kukatpally,1700,1,3,10300000
1945,Kukatpally,1730,1,2,10500000
1946,Kukatpally,1090,1,2,6648999
1947,other,2300,1,3,17000000
1948,Adibatla,1147,0,2,4500000
1949,Banjara Hills,3900,1,4,41500000
1950,Banjara Hills,3765,1,4,45100000
1951,other,2021,1,3,12700000
1952,Nanakramguda,2000,1,3,7400000
1953,Gajulramaram Kukatpally,1125,1,2,3210000
1954,Nanakramguda,2220,1,3,15000000
1955,Nanakramguda,2230,1,3,15000000
1956,Manikonda,1834,1,3,16200000
1957,Madhapur,4070,1,4,42500000
1958,Manikonda,1834,1,3,16000000
1959,Kukatpally,4700,1,4,41000000
1960,Manikonda,1314,1,2,10000000
1961,Gachibowli,3355,1,4,26800000
1962,Gachibowli,4146,1,5,33100000
1963,Gachibowli,3448,1,4,27500000
1964,Patancheru,1200,0,3,3200000
1965,Patancheru,1300,0,3,3250000
1966,other,1600,0,3,9000000
1967,Kukatpally,7600,0,8,35000000
1968,Pragathi Nagar Kukatpally,1515,0,3,6800000
1969,Pragathi Nagar Kukatpally,1515,0,3,6800000
1970,Pragathi Nagar Kukatpally,1515,0,3,6800000
1971,Pragathi Nagar Kukatpally,1515,0,3,6800000
1972,Pragathi Nagar Kukatpally,1515,0,3,6800000
1973,Pragathi Nagar Kukatpally,1515,0,3,6800000
1974,Pragathi Nagar Kukatpally,1515,0,3,6800000
1975,Pragathi Nagar Kukatpally,1515,0,3,6800000
1976,Pragathi Nagar Kukatpally,1515,0,3,6800000
1977,Pragathi Nagar Kukatpally,1515,0,3,6800000
1978,Pragathi Nagar Kukatpally,1515,0,3,6800000
1979,Pragathi Nagar Kukatpally,1515,0,3,6800000
1980,Pragathi Nagar Kukatpally,1515,0,3,6800000
1981,Pragathi Nagar Kukatpally,1515,0,3,6800000
1982,Pragathi Nagar Kukatpally,1515,0,3,6800000
1983,Pragathi Nagar Kukatpally,1515,0,3,6800000
1984,Pragathi Nagar Kukatpally,1515,0,3,6800000
1985,Pragathi Nagar Kukatpally,1515,0,3,6800000
1986,Pragathi Nagar Kukatpally,1513,0,3,6800000
1987,Pragathi Nagar Kukatpally,1515,0,3,6800000
1988,Sanath Nagar,1557,1,3,11000000
1989,Patancheru,1300,0,3,3100000
1990,other,2025,1,3,12500000
1991,other,1260,1,2,7800000
1992,Manikonda,1834,1,3,14500000
1993,Tellapur,1580,1,3,7200000
1994,Nanakramguda,1860,1,3,14000000
1995,other,1005,0,2,2211000
1996,other,1200,1,2,3500000
1997,Bandlaguda Jagir,1057,1,2,3000000
1998,other,2122,1,3,13300000
1999,Patancheru,910,0,2,3200000
2000,other,1375,0,3,4000000
2001,Nagole,1001,0,2,2002000
2002,Kondapur,2000,1,3,10000000
2003,Kondapur,1615,1,3,14000000
2004,Jubilee Hills,3085,1,3,40000000
2005,Hitech City,2250,0,4,17000000
2006,Kondapur,3195,0,3,21500000
2007,Kokapet,1735,1,3,9542000
2008,Madhapur,3450,1,4,33500000
2009,Kondapur,1500,0,3,8200000
2010,Bachupally Road,1175,0,2,4230000
2011,Bachupally Road,1155,0,2,4158000
2012,Patancheru,910,0,2,3300000
2013,other,1005,0,2,3500000
2014,other,1150,0,2,5500000
2015,Miyapur,1002,0,2,3507000
2016,Miyapur,1013,0,2,3545000
2017,Miyapur,1005,0,2,3517000
2018,Miyapur,1007,0,2,3524000
2019,Miyapur,1012,0,2,3542000
2020,Adibatla,1010,0,2,2022000
2021,Nagole,1010,0,2,2020000
2022,Nagole,1400,0,3,2800000
2023,Kollur Road,1665,0,3,5700000
2024,other,1002,0,2,4008000
2025,Adibatla,1050,0,2,2200000
2026,other,1350,0,3,5500000
2027,other,2200,1,3,9300000
2028,other,2000,1,3,9200000
2029,other,1600,1,3,9300000
2030,other,1691,1,3,9300000
2031,other,1500,1,3,9300000
2032,Pragathi Nagar Kukatpally,1175,0,2,3600000
2033,Chandanagar,1600,1,3,8460000
2034,Chandanagar,1150,1,2,6165000
2035,Kukatpally,1230,1,2,6895999
2036,Kukatpally,1090,1,2,6168000
2037,Miyapur,1190,1,2,8692000
2038,Miyapur,1920,1,3,10700000
2039,Miyapur,1905,1,3,10700000
2040,Kondapur,1295,1,2,11200000
2041,Kokapet,3380,1,4,22500000
2042,other,3615,1,4,27100000
2043,other,2600,1,3,22100000
2044,other,2100,1,3,10900000
2045,other,3025,1,3,28700000
2046,other,2600,1,3,22100000
2047,other,3590,1,3,39400000
2048,other,3590,1,3,39400000
2049,other,3875,1,3,29000000
2050,other,4290,1,3,32100000
2051,Balanagar,1765,1,3,6354000
2052,Balanagar,1940,1,3,6984000
2053,Jubilee Hills,2445,1,3,16500000
2054,Kokapet,1830,0,3,12000000
2056,Patancheru,1300,0,3,3200000
2057,Patancheru,910,0,2,3250000
2058,other,1550,0,3,4750000
2059,Patancheru,1650,0,3,4800000
2060,Patancheru,1650,0,3,4800000
2061,other,1475,0,3,4550000
2062,other,1475,0,3,4150000
2063,Patancheru,1500,0,2,3550000
2064,other,1550,0,3,4450000
2065,other,1400,0,3,3900000
2066,Patancheru,1350,0,2,3800000
2067,other,1475,0,3,4250000
2068,other,1650,0,3,4850000
2069,Patancheru,1375,0,2,4050000
2070,other,1475,0,3,4500000
2071,other,1000,0,2,4800000
2072,Tellapur,1950,1,3,8600000
2073,other,1050,1,2,3675000
2074,Kondapur,1535,1,3,8749000
2075,other,1550,0,3,8300000
2076,other,1510,1,3,8700000
2077,other,920,0,3,4000000
2078,Gachibowli,1742,1,3,13700000
2079,Banjara Hills,3765,1,4,57500000
2080,Gachibowli,2750,1,3,16500000
2081,other,1160,0,2,4582000
2082,Manikonda,2450,1,4,11200000
2083,Jubilee Hills,4700,1,4,55000000
2084,LB Nagar,1100,0,2,4600000
2085,other,1250,0,2,3375000
2086,Kollur Road,1250,0,2,4300000
2087,Adibatla,1200,0,2,2800000
2088,Miyapur,1006,0,2,3521000
2089,Kollur Road,1200,0,2,4500000
2090,Kollur Road,1250,0,2,4250000
2091,Kollur Road,1250,0,2,4600000
2092,Kollur Road,1205,0,2,4217000
2093,Kollur Road,1206,0,2,4221000
2094,other,1208,0,2,4228000
2095,Kollur Road,1202,0,2,4207000
2096,Kollur Road,1203,0,2,4210000
2097,Kondapur,1104,0,2,4968000
2098,Kondapur,1600,0,3,7200000
2099,Kollur Road,1242,0,2,4469000
2100,Aminpur,1210,0,2,3600000
2101,other,1630,1,3,5200000
2102,other,990,1,2,3200000
2103,Bachupally,1450,0,3,6500000
2104,other,1000,0,2,3800000
2105,other,950,1,2,2900000
2106,other,1050,0,2,4830000
2107,other,1400,0,2,19500000
2108,other,1050,0,2,5200000
2109,Begumpet,1200,1,2,7800000
2110,other,4150,1,4,26000000
2111,other,1500,1,5,3700000
2112,Madhapur,1530,1,3,9800000
2113,other,1250,1,3,10500000
2114,other,1296,1,2,4276000
2115,Shaikpet,998,1,2,3400000
2116,other,1850,1,4,9800000
2117,Miyapur,1115,1,2,9500000
2118,Hitech City,2630,1,3,21000000
2120,other,1085,1,2,6300000
2121,Gachibowli,1325,1,2,5100000
2122,Kollur Road,1200,0,2,4200000
2123,Kollur Road,1201,0,2,4203000
2124,Kollur Road,1260,0,2,4600000
2125,Kondapur,1103,0,2,4963000
2126,Kondapur,1106,0,2,4977000
2127,Adibatla,1000,0,2,2200000
2128,Kukatpally,1360,1,2,9500000
2129,Kukatpally,1740,1,3,12200000
2130,other,920,0,3,4000000
2131,other,1200,1,2,6000000
2132,other,1440,1,3,5200000
2133,other,1010,1,2,5500000
2134,other,1080,1,2,4500000
2135,Kompally,1950,1,3,6500000
2136,Manikonda,1834,1,3,15000000
2137,Shaikpet,2200,1,3,13500000
2138,Shaikpet,1133,1,2,6900000
2139,Serilingampally,1650,0,3,8200000
2140,Jubilee Hills,2600,1,3,17500000
2141,Adibatla,1100,0,2,2500000
